Dataset,Method,Train Size,Test Size,Features Count,D,Linkage,# Clusters,Gap,Errors Train/Test,Time
wine,Univarié,142,36,13,2,Complet,10,0.0%,29/9,0.1s
wine,Multivarié,142,36,13,2,Single,1,0.0%,102/28,0.0s
wine,Multivarié,142,36,13,2,Single,2,0.0%,101/28,0.1s
wine,Multivarié,142,36,13,2,Single,3,0.0%,100/27,0.0s
wine,Multivarié,142,36,13,2,Single,4,0.0%,99/27,0.1s
wine,Multivarié,142,36,13,2,Single,5,0.0%,97/27,0.1s
wine,Multivarié,142,36,13,2,Single,6,0.0%,96/27,0.1s
wine,Multivarié,142,36,13,2,Single,7,0.0%,95/26,0.1s
wine,Multivarié,142,36,13,2,Single,8,0.0%,94/26,0.1s
wine,Multivarié,142,36,13,2,Single,9,0.0%,94/27,0.0s
wine,Multivarié,142,36,13,2,Single,10,0.0%,93/28,0.3s
wine,Multivarié,142,36,13,2,Average,1,0.0%,102/28,0.0s
wine,Multivarié,142,36,13,2,Average,2,0.0%,101/28,0.0s
wine,Multivarié,142,36,13,2,Average,3,0.0%,100/28,0.0s
wine,Multivarié,142,36,13,2,Average,4,0.0%,54/15,0.1s
wine,Multivarié,142,36,13,2,Average,5,0.0%,54/16,0.1s
wine,Multivarié,142,36,13,2,Average,6,0.0%,51/14,0.1s
wine,Multivarié,142,36,13,2,Average,7,0.0%,51/14,0.1s
wine,Multivarié,142,36,13,2,Average,8,0.0%,18/4,0.4s
wine,Multivarié,142,36,13,2,Average,9,0.0%,19/4,0.1s
wine,Multivarié,142,36,13,2,Average,10,0.0%,17/3,0.2s
wine,Multivarié,142,36,13,2,Complet,1,0.0%,102/28,0.1s
wine,Multivarié,142,36,13,2,Complet,2,0.0%,56/15,0.0s
wine,Multivarié,142,36,13,2,Complet,3,0.0%,52/16,0.0s
wine,Multivarié,142,36,13,2,Complet,4,0.0%,13/7,0.3s
wine,Multivarié,142,36,13,2,Complet,5,0.0%,13/7,0.1s
wine,Multivarié,142,36,13,2,Complet,6,0.0%,13/4,0.3s
wine,Multivarié,142,36,13,2,Complet,7,0.0%,13/9,0.1s
wine,Multivarié,142,36,13,2,Complet,8,0.0%,13/9,0.1s
wine,Multivarié,142,36,13,2,Complet,9,0.0%,13/5,0.4s
wine,Multivarié,142,36,13,2,Complet,10,0.0%,13/9,0.3s
wine,Univarié,142,36,13,3,Single,1,0.0%,102/28,0.0s
wine,Univarié,142,36,13,3,Single,2,0.0%,101/28,0.0s
wine,Univarié,142,36,13,3,Single,3,0.0%,100/28,0.0s
wine,Univarié,142,36,13,3,Single,4,0.0%,99/28,0.0s
wine,Univarié,142,36,13,3,Single,5,0.0%,97/27,0.1s
wine,Univarié,142,36,13,3,Single,6,0.0%,97/27,0.2s
wine,Univarié,142,36,13,3,Single,7,0.0%,96/27,0.1s
wine,Univarié,142,36,13,3,Single,8,0.0%,96/27,0.2s
wine,Univarié,142,36,13,3,Single,9,0.0%,96/27,0.2s
wine,Univarié,142,36,13,3,Single,10,0.0%,96/27,0.5s
wine,Univarié,142,36,13,3,Average,1,0.0%,102/28,0.0s
wine,Univarié,142,36,13,3,Average,2,0.0%,101/28,0.0s
wine,Univarié,142,36,13,3,Average,3,0.0%,100/28,0.0s
wine,Univarié,142,36,13,3,Average,4,0.0%,89/24,0.1s
wine,Univarié,142,36,13,3,Average,5,0.0%,80/20,0.1s
wine,Univarié,142,36,13,3,Average,6,0.0%,58/17,0.2s
wine,Univarié,142,36,13,3,Average,7,0.0%,56/13,0.3s
wine,Univarié,142,36,13,3,Average,8,0.0%,92/27,0.2s
wine,Univarié,142,36,13,3,Average,9,0.0%,81/22,0.5s
wine,Univarié,142,36,13,3,Average,10,0.0%,79/22,0.4s
wine,Univarié,142,36,13,3,Complet,1,0.0%,102/28,0.0s
wine,Univarié,142,36,13,3,Complet,2,0.0%,96/21,0.0s
wine,Univarié,142,36,13,3,Complet,3,0.0%,96/23,0.0s
wine,Univarié,142,36,13,3,Complet,4,0.0%,56/15,0.1s
wine,Univarié,142,36,13,3,Complet,5,0.0%,54/13,0.1s
wine,Univarié,142,36,13,3,Complet,6,0.0%,69/19,0.2s
wine,Univarié,142,36,13,3,Complet,7,0.0%,31/10,0.3s
wine,Univarié,142,36,13,3,Complet,8,0.0%,29/9,0.5s
wine,Univarié,142,36,13,3,Complet,9,0.0%,31/10,0.5s
wine,Univarié,142,36,13,3,Complet,10,0.0%,30/10,0.3s
wine,Multivarié,142,36,13,3,Single,1,0.0%,102/28,0.1s
wine,Multivarié,142,36,13,3,Single,2,0.0%,101/28,0.1s
wine,Multivarié,142,36,13,3,Single,3,0.0%,100/27,0.1s
wine,Multivarié,142,36,13,3,Single,4,0.0%,99/27,0.1s
wine,Multivarié,142,36,13,3,Single,5,0.0%,97/26,0.1s
wine,Multivarié,142,36,13,3,Single,6,0.0%,96/26,0.1s
wine,Multivarié,142,36,13,3,Single,7,0.0%,95/27,0.1s
wine,Multivarié,142,36,13,3,Single,8,0.0%,94/26,0.1s
wine,Multivarié,142,36,13,3,Single,9,0.0%,94/27,0.1s
wine,Multivarié,142,36,13,3,Single,10,0.0%,93/28,0.6s
wine,Multivarié,142,36,13,3,Average,1,0.0%,102/28,0.1s
wine,Multivarié,142,36,13,3,Average,2,0.0%,101/28,0.1s
wine,Multivarié,142,36,13,3,Average,3,0.0%,100/28,0.1s
wine,Multivarié,142,36,13,3,Average,4,0.0%,54/15,0.4s
wine,Multivarié,142,36,13,3,Average,5,0.0%,54/16,0.1s
wine,Multivarié,142,36,13,3,Average,6,0.0%,51/14,0.1s
wine,Multivarié,142,36,13,3,Average,7,0.0%,51/14,0.5s
wine,Multivarié,142,36,13,3,Average,8,0.0%,18/2,0.9s
wine,Multivarié,142,36,13,3,Average,9,0.0%,19/4,0.1s
wine,Multivarié,142,36,13,3,Average,10,0.0%,17/5,0.6s
wine,Multivarié,142,36,13,3,Complet,1,0.0%,102/28,0.1s
wine,Multivarié,142,36,13,3,Complet,2,0.0%,56/15,0.1s
wine,Multivarié,142,36,13,3,Complet,3,0.0%,52/16,0.1s
wine,Multivarié,142,36,13,3,Complet,4,0.0%,13/9,0.1s
wine,Multivarié,142,36,13,3,Complet,5,0.0%,13/9,0.6s
wine,Multivarié,142,36,13,3,Complet,6,0.0%,13/6,0.8s
wine,Multivarié,142,36,13,3,Complet,7,0.0%,13/4,0.1s
wine,Multivarié,142,36,13,3,Complet,8,0.0%,13/5,1.1s
wine,Multivarié,142,36,13,3,Complet,9,0.0%,13/7,0.1s
wine,Multivarié,142,36,13,3,Complet,10,0.0%,13/7,0.6s
wine,Univarié,142,36,13,4,Single,1,0.0%,102/28,0.0s
wine,Univarié,142,36,13,4,Single,2,0.0%,101/29,0.0s
wine,Univarié,142,36,13,4,Single,3,0.0%,100/28,0.1s
wine,Univarié,142,36,13,4,Single,4,0.0%,99/28,0.1s
wine,Univarié,142,36,13,4,Single,5,0.0%,97/26,0.1s
wine,Univarié,142,36,13,4,Single,6,0.0%,96/27,0.2s
wine,Univarié,142,36,13,4,Single,7,0.0%,95/27,0.2s
wine,Univarié,142,36,13,4,Single,8,0.0%,95/27,0.7s
wine,Univarié,142,36,13,4,Single,9,0.0%,95/27,0.8s
wine,Univarié,142,36,13,4,Single,10,0.0%,95/27,1.5s
wine,Univarié,142,36,13,4,Average,1,0.0%,102/28,0.0s
wine,Univarié,142,36,13,4,Average,2,0.0%,101/29,0.0s
wine,Univarié,142,36,13,4,Average,3,0.0%,100/28,0.1s
wine,Univarié,142,36,13,4,Average,4,0.0%,89/23,0.1s
wine,Univarié,142,36,13,4,Average,5,0.0%,88/22,0.2s
wine,Univarié,142,36,13,4,Average,6,0.0%,90/23,0.4s
wine,Univarié,142,36,13,4,Average,7,0.0%,61/17,0.7s
wine,Univarié,142,36,13,4,Average,8,0.0%,87/24,0.8s
wine,Univarié,142,36,13,4,Average,9,0.0%,78/20,0.9s
wine,Univarié,142,36,13,4,Average,10,0.0%,78/19,1.8s
wine,Univarié,142,36,13,4,Complet,1,0.0%,102/28,0.0s
wine,Univarié,142,36,13,4,Complet,2,0.0%,96/23,0.0s
wine,Univarié,142,36,13,4,Complet,3,0.0%,96/23,0.0s
wine,Univarié,142,36,13,4,Complet,4,0.0%,56/15,0.1s
wine,Univarié,142,36,13,4,Complet,5,0.0%,56/15,0.6s
wine,Univarié,142,36,13,4,Complet,6,0.0%,69/19,0.7s
wine,Univarié,142,36,13,4,Complet,7,0.0%,32/8,1.1s
wine,Univarié,142,36,13,4,Complet,8,0.0%,29/9,2.1s
wine,Univarié,142,36,13,4,Complet,10,0.0%,29/10,3.0s
wine,Multivarié,142,36,13,4,Single,1,0.0%,102/28,0.1s
wine,Multivarié,142,36,13,4,Single,2,0.0%,101/28,0.2s
wine,Multivarié,142,36,13,4,Single,3,0.0%,100/27,0.2s
wine,Multivarié,142,36,13,4,Single,4,0.0%,99/26,0.2s
wine,Multivarié,142,36,13,4,Single,5,0.0%,97/26,0.2s
wine,Multivarié,142,36,13,4,Single,6,0.0%,96/26,0.2s
wine,Multivarié,142,36,13,4,Single,7,0.0%,95/26,0.2s
wine,Multivarié,142,36,13,4,Single,8,0.0%,94/27,0.2s
wine,Multivarié,142,36,13,4,Single,9,0.0%,94/26,0.2s
wine,Multivarié,142,36,13,4,Single,10,0.0%,93/27,1.9s
wine,Multivarié,142,36,13,4,Average,1,0.0%,102/28,0.2s
wine,Multivarié,142,36,13,4,Average,2,0.0%,101/28,0.2s
wine,Multivarié,142,36,13,4,Average,3,0.0%,100/28,0.2s
wine,Multivarié,142,36,13,4,Average,4,0.0%,54/15,0.2s
wine,Multivarié,142,36,13,4,Average,5,0.0%,54/14,0.2s
wine,Multivarié,142,36,13,4,Average,6,0.0%,51/14,0.2s
wine,Multivarié,142,36,13,4,Average,7,0.0%,51/14,1.1s
wine,Multivarié,142,36,13,4,Average,8,0.0%,18/5,1.3s
wine,Multivarié,142,36,13,4,Average,9,0.0%,19/6,2.2s
wine,Multivarié,142,36,13,4,Average,10,0.0%,17/5,1.9s
wine,Multivarié,142,36,13,4,Complet,1,0.0%,102/28,0.1s
wine,Multivarié,142,36,13,4,Complet,2,0.0%,56/15,0.2s
wine,Multivarié,142,36,13,4,Complet,3,0.0%,52/16,0.2s
wine,Multivarié,142,36,13,4,Complet,4,0.0%,13/9,0.2s
wine,Multivarié,142,36,13,4,Complet,5,0.0%,13/5,1.5s
wine,Multivarié,142,36,13,4,Complet,6,0.0%,13/10,0.2s
wine,Multivarié,142,36,13,4,Complet,7,0.0%,13/7,0.2s
wine,Multivarié,142,36,13,4,Complet,8,0.0%,13/9,0.2s
wine,Multivarié,142,36,13,4,Complet,9,0.0%,13/7,2.0s
wine,Multivarié,142,36,13,4,Complet,10,0.0%,13/7,1.6s
diabetes,Univarié,160,40,8,2,Single,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Single,2,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Single,3,0.0%,57/15,0.0s
diabetes,Univarié,160,40,8,2,Single,4,0.0%,57/15,0.0s
diabetes,Univarié,160,40,8,2,Single,5,0.0%,57/15,0.0s
diabetes,Univarié,160,40,8,2,Single,6,0.0%,56/16,0.1s
diabetes,Univarié,160,40,8,2,Single,7,0.0%,56/14,0.1s
diabetes,Univarié,160,40,8,2,Single,8,0.0%,55/15,0.2s
diabetes,Univarié,160,40,8,2,Single,9,0.0%,55/15,0.1s
diabetes,Univarié,160,40,8,2,Single,10,0.0%,55/15,0.1s
diabetes,Univarié,160,40,8,2,Average,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Average,2,0.0%,58/15,0.0s
diabetes,Univarié,160,40,8,2,Average,3,0.0%,58/15,0.0s
diabetes,Univarié,160,40,8,2,Average,4,0.0%,58/14,0.0s
diabetes,Univarié,160,40,8,2,Average,5,0.0%,58/14,0.0s
diabetes,Univarié,160,40,8,2,Average,6,0.0%,57/15,0.1s
diabetes,Univarié,160,40,8,2,Average,7,0.0%,53/16,0.0s
diabetes,Univarié,160,40,8,2,Average,8,0.0%,54/14,0.0s
diabetes,Univarié,160,40,8,2,Average,9,0.0%,54/14,0.1s
diabetes,Univarié,160,40,8,2,Average,10,0.0%,54/14,0.1s
diabetes,Univarié,160,40,8,2,Complet,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Complet,2,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Complet,3,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Complet,4,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Complet,5,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Complet,6,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,2,Complet,7,0.0%,59/15,0.1s
diabetes,Univarié,160,40,8,2,Complet,8,0.0%,58/15,0.1s
diabetes,Univarié,160,40,8,2,Complet,9,0.0%,55/15,0.1s
diabetes,Univarié,160,40,8,2,Complet,19,0.0%,55/15,0.2s
diabetes,Multivarié,160,40,8,2,Single,1,0.0%,59/15,0.0s
diabetes,Multivarié,160,40,8,2,Single,2,0.0%,58/15,0.0s
diabetes,Multivarié,160,40,8,2,Single,3,0.0%,56/15,0.0s
diabetes,Multivarié,160,40,8,2,Single,4,0.0%,56/15,0.0s
diabetes,Multivarié,160,40,8,2,Single,5,0.0%,56/15,0.0s
diabetes,Multivarié,160,40,8,2,Single,6,0.0%,55/15,0.1s
diabetes,Multivarié,160,40,8,2,Single,7,0.0%,54/14,0.2s
diabetes,Multivarié,160,40,8,2,Single,8,0.0%,53/15,0.2s
diabetes,Multivarié,160,40,8,2,Single,9,0.0%,53/14,0.2s
diabetes,Multivarié,160,40,8,2,Single,10,0.0%,53/14,0.2s
diabetes,Multivarié,160,40,8,2,Average,1,0.0%,59/15,0.0s
diabetes,Multivarié,160,40,8,2,Average,2,0.0%,58/14,0.0s
diabetes,Multivarié,160,40,8,2,Average,3,0.0%,58/14,0.0s
diabetes,Multivarié,160,40,8,2,Average,4,0.0%,56/14,0.0s
diabetes,Multivarié,160,40,8,2,Average,5,0.0%,55/14,0.2s
diabetes,Multivarié,160,40,8,2,Average,6,0.0%,55/14,0.2s
diabetes,Multivarié,160,40,8,2,Average,7,0.0%,44/14,0.2s
diabetes,Multivarié,160,40,8,2,Average,8,0.0%,44/13,0.3s
diabetes,Multivarié,160,40,8,2,Average,9,0.0%,43/14,0.3s
diabetes,Multivarié,160,40,8,2,Average,10,0.0%,43/14,0.4s
diabetes,Multivarié,160,40,8,2,Complet,1,0.0%,59/15,0.0s
diabetes,Multivarié,160,40,8,2,Complet,2,0.0%,59/15,0.0s
diabetes,Multivarié,160,40,8,2,Complet,3,0.0%,59/15,0.2s
diabetes,Multivarié,160,40,8,2,Complet,4,0.0%,59/15,0.1s
diabetes,Multivarié,160,40,8,2,Complet,5,0.0%,59/15,0.2s
diabetes,Multivarié,160,40,8,2,Complet,6,0.0%,57/15,0.2s
diabetes,Multivarié,160,40,8,2,Complet,7,0.0%,54/16,0.2s
diabetes,Multivarié,160,40,8,2,Complet,8,0.0%,53/15,0.2s
diabetes,Multivarié,160,40,8,2,Complet,9,0.0%,50/14,0.2s
diabetes,Multivarié,160,40,8,2,Complet,10,0.0%,50/14,0.4s
diabetes,Univarié,160,40,8,3,Single,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Single,2,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Single,3,0.0%,57/15,0.0s
diabetes,Univarié,160,40,8,3,Single,4,0.0%,57/15,0.0s
diabetes,Univarié,160,40,8,3,Single,5,0.0%,57/15,0.0s
diabetes,Univarié,160,40,8,3,Single,6,0.0%,56/16,0.1s
diabetes,Univarié,160,40,8,3,Single,7,0.0%,55/15,0.1s
diabetes,Univarié,160,40,8,3,Single,8,0.0%,54/14,0.2s
diabetes,Univarié,160,40,8,3,Single,9,0.0%,54/16,0.2s
diabetes,Univarié,160,40,8,3,Single,10,0.0%,54/16,0.3s
diabetes,Univarié,160,40,8,3,Average,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Average,2,0.0%,58/14,0.0s
diabetes,Univarié,160,40,8,3,Average,3,0.0%,58/15,0.0s
diabetes,Univarié,160,40,8,3,Average,4,0.0%,58/14,0.1s
diabetes,Univarié,160,40,8,3,Average,5,0.0%,58/14,0.1s
diabetes,Univarié,160,40,8,3,Average,6,0.0%,57/15,0.2s
diabetes,Univarié,160,40,8,3,Average,7,0.0%,55/15,0.2s
diabetes,Univarié,160,40,8,3,Average,8,0.0%,54/14,0.3s
diabetes,Univarié,160,40,8,3,Average,9,0.0%,54/14,0.3s
diabetes,Univarié,160,40,8,3,Average,10,0.0%,54/14,0.3s
diabetes,Univarié,160,40,8,3,Complet,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Complet,2,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Complet,3,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Complet,4,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Complet,5,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,3,Complet,6,0.0%,56/15,0.1s
diabetes,Univarié,160,40,8,3,Complet,7,0.0%,57/15,0.2s
diabetes,Univarié,160,40,8,3,Complet,8,0.0%,58/14,0.2s
diabetes,Univarié,160,40,8,3,Complet,9,0.0%,55/15,0.2s
diabetes,Univarié,160,40,8,3,Complet,10,0.0%,55/15,0.3s
diabetes,Multivarié,160,40,8,3,Single,1,0.0%,59/15,0.1s
diabetes,Multivarié,160,40,8,3,Single,2,0.0%,58/15,0.1s
diabetes,Multivarié,160,40,8,3,Single,3,0.0%,56/15,0.1s
diabetes,Multivarié,160,40,8,3,Single,4,0.0%,56/15,0.1s
diabetes,Multivarié,160,40,8,3,Single,5,0.0%,56/15,0.1s
diabetes,Multivarié,160,40,8,3,Single,6,0.0%,55/15,0.1s
diabetes,Multivarié,160,40,8,3,Single,7,0.0%,54/14,0.5s
diabetes,Multivarié,160,40,8,3,Single,8,0.0%,53/14,0.4s
diabetes,Multivarié,160,40,8,3,Single,9,0.0%,53/14,0.4s
diabetes,Multivarié,160,40,8,3,Single,10,0.0%,53/14,0.1s
diabetes,Multivarié,160,40,8,3,Average,1,0.0%,59/15,0.1s
diabetes,Multivarié,160,40,8,3,Average,2,0.0%,58/14,0.1s
diabetes,Multivarié,160,40,8,3,Average,3,0.0%,58/14,0.1s
diabetes,Multivarié,160,40,8,3,Average,4,0.0%,56/14,0.1s
diabetes,Multivarié,160,40,8,3,Average,5,0.0%,55/14,0.1s
diabetes,Multivarié,160,40,8,3,Average,6,0.0%,55/15,0.4s
diabetes,Multivarié,160,40,8,3,Average,7,0.0%,44/15,0.5s
diabetes,Multivarié,160,40,8,3,Average,8,0.0%,42/14,0.7s
diabetes,Multivarié,160,40,8,3,Average,9,0.0%,42/15,0.6s
diabetes,Multivarié,160,40,8,3,Average,10,0.0%,42/16,0.4s
diabetes,Multivarié,160,40,8,3,Complet,1,0.0%,59/15,0.1s
diabetes,Multivarié,160,40,8,3,Complet,2,0.0%,59/15,0.1s
diabetes,Multivarié,160,40,8,3,Complet,3,0.0%,59/15,0.4s
diabetes,Multivarié,160,40,8,3,Complet,4,0.0%,59/15,0.8s
diabetes,Multivarié,160,40,8,3,Complet,5,0.0%,59/15,0.8s
diabetes,Multivarié,160,40,8,3,Complet,6,0.0%,57/15,1.0s
diabetes,Multivarié,160,40,8,3,Complet,7,0.0%,54/16,0.7s
diabetes,Multivarié,160,40,8,3,Complet,8,0.0%,53/15,0.6s
diabetes,Multivarié,160,40,9,3,Complet,6,0.0%,50/16,0.8s
diabetes,Multivarié,160,40,10,3,Complet,6,0.0%,50/13,0.5s
diabetes,Univarié,160,40,8,4,Single,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Single,2,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Single,3,0.0%,57/15,0.1s
diabetes,Univarié,160,40,8,4,Single,4,0.0%,57/15,0.1s
diabetes,Univarié,160,40,8,4,Single,5,0.0%,57/15,0.2s
diabetes,Univarié,160,40,8,4,Single,6,0.0%,56/15,0.3s
diabetes,Univarié,160,40,8,4,Single,7,0.0%,55/14,0.3s
diabetes,Univarié,160,40,8,4,Single,8,0.0%,53/15,0.2s
diabetes,Univarié,160,40,8,4,Single,9,0.0%,53/14,0.2s
diabetes,Univarié,160,40,8,4,Single,10,0.0%,53/15,0.3s
diabetes,Univarié,160,40,8,4,Average,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Average,2,0.0%,58/15,0.0s
diabetes,Univarié,160,40,8,4,Average,3,0.0%,58/15,0.0s
diabetes,Univarié,160,40,8,4,Average,4,0.0%,58/14,0.1s
diabetes,Univarié,160,40,8,4,Average,5,0.0%,58/14,0.2s
diabetes,Univarié,160,40,8,4,Average,6,0.0%,57/15,0.4s
diabetes,Univarié,160,40,8,4,Average,7,0.0%,55/14,0.3s
diabetes,Univarié,160,40,8,4,Average,8,0.0%,54/15,0.7s
diabetes,Univarié,160,40,8,4,Average,9,0.0%,55/15,1.5s
diabetes,Univarié,160,40,8,4,Average,10,0.0%,54/14,2.1s
diabetes,Univarié,160,40,8,4,Complet,1,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Complet,2,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Complet,3,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Complet,4,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Complet,5,0.0%,59/15,0.0s
diabetes,Univarié,160,40,8,4,Complet,6,0.0%,59/15,0.2s
diabetes,Univarié,160,40,8,4,Complet,7,0.0%,59/15,0.4s
diabetes,Univarié,160,40,8,4,Complet,8,0.0%,58/15,0.6s
diabetes,Univarié,160,40,8,4,Complet,9,9.0%,55/15,0.9s
diabetes,Univarié,160,40,8,4,Complet,10,0.0%,53/15,0.9s
diabetes,Multivarié,160,40,8,4,Single,1,0.0%,59/15,0.2s
diabetes,Multivarié,160,40,8,4,Single,2,0.0%,58/15,0.2s
diabetes,Multivarié,160,40,8,4,Single,3,0.0%,56/15,0.2s
diabetes,Multivarié,160,40,8,4,Single,4,0.0%,56/15,0.2s
diabetes,Multivarié,160,40,8,4,Single,5,0.0%,56/15,0.2s
diabetes,Multivarié,160,40,8,4,Single,6,0.0%,55/15,0.2s
diabetes,Multivarié,160,40,8,4,Single,7,0.0%,54/14,0.8s
diabetes,Multivarié,160,40,8,4,Single,8,0.0%,53/14,1.1s
diabetes,Multivarié,160,40,8,4,Single,9,0.0%,53/14,1.5s
diabetes,Multivarié,160,40,8,4,Single,10,0.0%,53/14,1.3s
diabetes,Multivarié,160,40,8,4,Average,1,0.0%,59/15,0.1s
diabetes,Multivarié,160,40,8,4,Average,2,0.0%,58/14,0.1s
diabetes,Multivarié,160,40,8,4,Average,3,0.0%,58/14,0.2s
diabetes,Multivarié,160,40,8,4,Average,4,0.0%,56/14,0.2s
diabetes,Multivarié,160,40,8,4,Average,5,0.0%,55/15,1.0s
diabetes,Multivarié,160,40,8,4,Average,6,0.0%,55/14,0.7s
diabetes,Multivarié,160,40,8,4,Average,7,0.0%,44/15,0.2s
diabetes,Multivarié,160,40,8,4,Average,8,0.0%,42/13,1.3s
diabetes,Multivarié,160,40,8,4,Average,9,0.0%,42/13,1.8s
diabetes,Multivarié,160,40,8,4,Average,10,0.0%,42/15,1.6s
diabetes,Multivarié,160,40,8,4,Complet,1,0.0%,59/15,0.1s
diabetes,Multivarié,160,40,8,4,Complet,2,0.0%,59/15,0.2s
diabetes,Multivarié,160,40,8,4,Complet,3,0.0%,59/15,0.9s
diabetes,Multivarié,160,40,8,4,Complet,4,0.0%,59/15,2.8s
diabetes,Multivarié,160,40,8,4,Complet,5,0.0%,59/15,3.6s
diabetes,Multivarié,160,40,8,4,Complet,6,13.5%,57/15,2183.4s
diabetes,Multivarié,160,40,8,4,Complet,7,0.0%,54/17,2.0s
diabetes,Multivarié,160,40,8,4,Complet,8,0.0%,53/17,1.9s
diabetes,Multivarié,160,40,8,4,Complet,9,0.0%,50/16,1.7s
diabetes,Multivarié,160,40,8,4,Complet,10,0.0%,50/18,1.8s
ionosphere,Univarié,160,40,8,2,Single,1,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Single,2,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Single,3,0.0%,57/15,0.0s
ionosphere,Univarié,160,40,8,2,Single,4,0.0%,57/15,0.0s
ionosphere,Univarié,160,40,8,2,Single,5,0.0%,57/15,0.1s
ionosphere,Univarié,160,40,8,2,Single,6,0.0%,56/16,0.0s
ionosphere,Univarié,160,40,8,2,Single,7,0.0%,56/14,0.1s
ionosphere,Univarié,160,40,8,2,Single,8,0.0%,55/15,0.1s
ionosphere,Univarié,160,40,8,2,Single,9,0.0%,55/15,0.1s
ionosphere,Univarié,160,40,8,2,Single,10,0.0%,55/15,0.1s
ionosphere,Univarié,160,40,8,2,Average,1,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Average,2,0.0%,58/15,0.0s
ionosphere,Univarié,160,40,8,2,Average,3,0.0%,58/15,0.0s
ionosphere,Univarié,160,40,8,2,Average,4,0.0%,58/14,0.0s
ionosphere,Univarié,160,40,8,2,Average,5,0.0%,58/14,0.0s
ionosphere,Univarié,160,40,8,2,Average,6,0.0%,57/15,0.0s
ionosphere,Univarié,160,40,8,2,Average,7,0.0%,53/16,0.0s
ionosphere,Univarié,160,40,8,2,Average,8,0.0%,54/14,0.1s
ionosphere,Univarié,160,40,8,2,Average,9,0.0%,54/14,0.1s
ionosphere,Univarié,160,40,8,2,Average,10,0.0%,54/14,0.1s
ionosphere,Univarié,160,40,8,2,Complet,1,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,2,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,3,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,4,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,5,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,6,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,7,0.0%,59/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,8,0.0%,58/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,9,0.0%,55/15,0.0s
ionosphere,Univarié,160,40,8,2,Complet,10,0.0%,55/15,0.0s
ionosphere,Multivarié,160,40,8,2,Single,1,0.0%,59/15,0.0s
ionosphere,Multivarié,160,40,8,2,Single,2,0.0%,58/15,0.0s
ionosphere,Multivarié,160,40,8,2,Single,3,0.0%,56/15,0.0s
ionosphere,Multivarié,160,40,8,2,Single,4,0.0%,56/15,0.0s
ionosphere,Multivarié,160,40,8,2,Single,5,0.0%,56/15,0.1s
ionosphere,Multivarié,160,40,8,2,Single,6,0.0%,55/15,0.0s
ionosphere,Multivarié,160,40,8,2,Single,7,0.0%,54/14,0.2s
ionosphere,Multivarié,160,40,8,2,Single,8,0.0%,53/15,0.2s
ionosphere,Multivarié,160,40,8,2,Single,9,0.0%,53/14,0.2s
ionosphere,Multivarié,160,40,8,2,Single,10,0.0%,53/14,0.2s
ionosphere,Multivarié,160,40,8,2,Average,1,0.0%,59/15,0.0s
ionosphere,Multivarié,160,40,8,2,Average,2,0.0%,58/14,0.0s
ionosphere,Multivarié,160,40,8,2,Average,3,0.0%,58/14,0.1s
ionosphere,Multivarié,160,40,8,2,Average,4,0.0%,56/14,0.1s
ionosphere,Multivarié,160,40,8,2,Average,5,0.0%,55/14,0.3s
